text,label,Pattern Category,text_length,clean_text,UID
Trial converts to premium automatically.,1,Sneaking,5,Trial converts to premium automatically.,0
Free feature availableólimited functionality.,1,Sneaking,4,Free feature availableólimited functionality.,0
Offer available only with automatic billing.,1,Sneaking,6,Offer available only with automatic billing.,0
Cancel before renewal or lose discount.,1,Sneaking,6,Cancel before renewal or lose discount.,0
Refund not guaranteed after purchase.,1,Sneaking,5,Refund not guaranteed after purchase.,0
Clicking ìAcceptî enables partner offers.,1,Sneaking,5,Clicking ìAcceptî enables partner offers.,0
Pre-selected bundle added to your cart.,1,Sneaking,6,Pre-selected bundle added to your cart.,0
Opting out removes your discount.,1,Sneaking,5,Opting out removes your discount.,0
First charge appears before trial ends.,1,Sneaking,6,First charge appears before trial ends.,0
Extra warranty included by default.,1,Sneaking,5,Extra warranty included by default.,0
Hidden fee applied at checkout.,1,Sneaking,5,Hidden fee applied at checkout.,0
Membership auto-renews after free trial.,1,Sneaking,5,Membership auto-renews after free trial.,0
The discount applies only with add-ons.,1,Sneaking,6,The discount applies only with add-ons.,0
Clicking back enrolls you anyway.,1,Sneaking,5,Clicking back enrolls you anyway.,0
Subscription pre-added to your plan.,1,Sneaking,5,Subscription pre-added to your plan.,0
Refund requires unused product return.,1,Sneaking,5,Refund requires unused product return.,0
Full features require paid upgrade.,1,Sneaking,5,Full features require paid upgrade.,0
"By signing up, you share personal data.",1,Sneaking,7,"By signing up, you share personal data.",0
Auto-filled donation included at checkout.,1,Sneaking,5,Auto-filled donation included at checkout.,0
Processing fee applied to refunds.,1,Sneaking,5,Processing fee applied to refunds.,0
Default package includes extra services.,1,Sneaking,5,Default package includes extra services.,0
Promo ends unless canceled manually.,1,Sneaking,5,Promo ends unless canceled manually.,0
Clicking next accepts all terms.,1,Sneaking,5,Clicking next accepts all terms.,0
Add-ons bundled without consent.,1,Sneaking,4,Add-ons bundled without consent.,0
Free trial limited to new customers only.,1,Sneaking,7,Free trial limited to new customers only.,0
Cancellation unavailable on weekends.,1,Sneaking,4,Cancellation unavailable on weekends.,0
Discounts locked behind recurring billing.,1,Sneaking,5,Discounts locked behind recurring billing.,0
Refund credited as store voucher only.,1,Sneaking,6,Refund credited as store voucher only.,0
Price excludes hidden activation fee.,1,Sneaking,5,Price excludes hidden activation fee.,0
Auto-opt-in to promotional emails.,1,Sneaking,4,Auto-opt-in to promotional emails.,0
Free trial converts to annual plan.,1,Sneaking,6,Free trial converts to annual plan.,0
Premium pre-selected on sign-up.,1,Sneaking,4,Premium pre-selected on sign-up.,0
Additional tax added at checkout.,1,Sneaking,5,Additional tax added at checkout.,0
Continue means accept hidden fees.,1,Sneaking,5,Continue means accept hidden fees.,0
Trial ends abruptly unless upgraded.,1,Sneaking,5,Trial ends abruptly unless upgraded.,0
Bonus feature charged monthly.,1,Sneaking,4,Bonus feature charged monthly.,0
Data-sharing required for access.,1,Sneaking,4,Data-sharing required for access.,0
Unsubscribe buried deep in settings.,1,Sneaking,5,Unsubscribe buried deep in settings.,0
Cancellation triggers penalty fee.,1,Sneaking,4,Cancellation triggers penalty fee.,0
Opt-out confirmation requires multiple steps.,1,Sneaking,5,Opt-out confirmation requires multiple steps.,0
Discount revoked upon cancelation.,1,Sneaking,4,Discount revoked upon cancelation.,0
Auto-renewal starts after trial.,1,Sneaking,4,Auto-renewal starts after trial.,0
Hidden surcharges included later.,1,Sneaking,4,Hidden surcharges included later.,0
ìAgreeî adds services instantly.,1,Sneaking,4,ìAgreeî adds services instantly.,0
Refunds exclude shipping charges.,1,Sneaking,4,Refunds exclude shipping charges.,0
Trial sign-up requires card info.,1,Sneaking,5,Trial sign-up requires card info.,0
First bill higher than advertised.,1,Sneaking,5,First bill higher than advertised.,0
Warranty fee added automatically.,1,Sneaking,4,Warranty fee added automatically.,0
Promo valid only with upgrade.,1,Sneaking,5,Promo valid only with upgrade.,0
Default subscription active on sign-up.,1,Sneaking,5,Default subscription active on sign-up.,0
Free trial requires paid plan sign-up.,1,Sneaking,6,Free trial requires paid plan sign-up.,0
Extra items pre-selected in cart.,1,Sneaking,5,Extra items pre-selected in cart.,0
ìFreeî includes hidden costs.,1,Sneaking,4,ìFreeî includes hidden costs.,0
Trial converts silently to paid.,1,Sneaking,5,Trial converts silently to paid.,0
Cancellation requires calling support.,1,Sneaking,4,Cancellation requires calling support.,0
"One-click sign-up, 5-step cancel.",1,Sneaking,4,"One-click sign-up, 5-step cancel.",0
Gift included after renewal.,1,Sneaking,4,Gift included after renewal.,0
Price displayed before tax only.,1,Sneaking,5,Price displayed before tax only.,0
"By subscribing, you agree to upsells.",1,Sneaking,6,"By subscribing, you agree to upsells.",0
Free trial charges shipping fees.,1,Sneaking,5,Free trial charges shipping fees.,0
Cancellation form hidden online.,1,Sneaking,4,Cancellation form hidden online.,0
Default plan is premium tier.,1,Sneaking,5,Default plan is premium tier.,0
Refund only in credits.,1,Sneaking,4,Refund only in credits.,0
Renewal starts 24h before trial ends.,1,Sneaking,6,Renewal starts 24h before trial ends.,0
Tax not included in price.,1,Sneaking,5,Tax not included in price.,0
Bonus trial comes with renewal.,1,Sneaking,5,Bonus trial comes with renewal.,0
Opt-out requires email request.,1,Sneaking,4,Opt-out requires email request.,0
Auto-renew toggle hidden.,1,Sneaking,3,Auto-renew toggle hidden.,0
Hidden fee for digital access.,1,Sneaking,5,Hidden fee for digital access.,0
Add-ons appear at last step.,1,Sneaking,5,Add-ons appear at last step.,0
Premium trial defaults to paid.,1,Sneaking,5,Premium trial defaults to paid.,0
ìNextî enrolls you in plan.,1,Sneaking,5,ìNextî enrolls you in plan.,0
Free option requires ad-watching.,1,Sneaking,4,Free option requires ad-watching.,0
Discounts removed if canceled.,1,Sneaking,4,Discounts removed if canceled.,0
Trial needs upfront payment.,1,Sneaking,4,Trial needs upfront payment.,0
Subscription box checked automatically.,1,Sneaking,4,Subscription box checked automatically.,0
Extra coverage included by default.,1,Sneaking,5,Extra coverage included by default.,0
Auto-subscribe when downloading.,1,Sneaking,3,Auto-subscribe when downloading.,0
Refunds processed as store credit.,1,Sneaking,5,Refunds processed as store credit.,0
Trial lasts 3 days before charge.,1,Sneaking,6,Trial lasts 3 days before charge.,0
Shipping fee not disclosed upfront.,1,Sneaking,5,Shipping fee not disclosed upfront.,0
Trial requires card verification.,1,Sneaking,4,Trial requires card verification.,0
Premium selected unless unchecked.,1,Sneaking,4,Premium selected unless unchecked.,0
Default is recurring subscription.,1,Sneaking,4,Default is recurring subscription.,0
ìNo thanksî requires multiple clicks.,1,Sneaking,5,ìNo thanksî requires multiple clicks.,0
Data-sharing enabled by default.,1,Sneaking,4,Data-sharing enabled by default.,0
Cancellation requires survey.,1,Sneaking,3,Cancellation requires survey.,0
Add-on required for discount.,1,Sneaking,4,Add-on required for discount.,0
Trial billed in advance.,1,Sneaking,4,Trial billed in advance.,0
Gift card issued on cancelation.,1,Sneaking,5,Gift card issued on cancelation.,0
Subscription locked until billing cycle ends.,1,Sneaking,6,Subscription locked until billing cycle ends.,0
Upgrade auto-applied at sign-up.,1,Sneaking,4,Upgrade auto-applied at sign-up.,0
Discount cancels if trial canceled.,1,Sneaking,5,Discount cancels if trial canceled.,0
Free tier with limited access.,1,Sneaking,5,Free tier with limited access.,0
ìAcceptî signs up for extras.,1,Sneaking,5,ìAcceptî signs up for extras.,0
Price excludes mandatory fees.,1,Sneaking,4,Price excludes mandatory fees.,0
Default settings enable promotions.,1,Sneaking,4,Default settings enable promotions.,0
Refund not guaranteed for sales.,1,Sneaking,5,Refund not guaranteed for sales.,0
Subscription auto-renews annually.,1,Sneaking,3,Subscription auto-renews annually.,0
Trial limited to select users.,1,Sneaking,5,Trial limited to select users.,0
Gift auto-shipped with paid plan.,1,Sneaking,5,Gift auto-shipped with paid plan.,0
ìProceedî activates hidden charges.,1,Sneaking,4,ìProceedî activates hidden charges.,0
Tax revealed at last page.,1,Sneaking,5,Tax revealed at last page.,0
Membership defaults to yearly plan.,1,Sneaking,5,Membership defaults to yearly plan.,0
Add-ons removed only manually.,1,Sneaking,4,Add-ons removed only manually.,0
ìContinueî means accept recurring fee.,1,Sneaking,5,ìContinueî means accept recurring fee.,0
Shipping charged separately.,1,Sneaking,3,Shipping charged separately.,0
Refund requests delayed intentionally.,1,Sneaking,4,Refund requests delayed intentionally.,0
Trial requires upgrade for full use.,1,Sneaking,6,Trial requires upgrade for full use.,0
Cancelation available only by mail.,1,Sneaking,5,Cancelation available only by mail.,0
Automatic charge after intro offer.,1,Sneaking,5,Automatic charge after intro offer.,0
Price excludes maintenance costs.,1,Sneaking,4,Price excludes maintenance costs.,0
Renewal locked in advance.,1,Sneaking,4,Renewal locked in advance.,0
Free trial limited to one per person.,1,Sneaking,7,Free trial limited to one per person.,0
Cancellation requires password reset.,1,Sneaking,4,Cancellation requires password reset.,0
Pre-selected bundle adds cost.,1,Sneaking,4,Pre-selected bundle adds cost.,0
Tax not visible until payment.,1,Sneaking,5,Tax not visible until payment.,0
Subscription locked until confirmed.,1,Sneaking,4,Subscription locked until confirmed.,0
Default option higher priced.,1,Sneaking,4,Default option higher priced.,0
Refund policy vague and hidden.,1,Sneaking,5,Refund policy vague and hidden.,0
ìYesî adds add-ons instantly.,1,Sneaking,4,ìYesî adds add-ons instantly.,0
Discount only on auto-renew.,1,Sneaking,4,Discount only on auto-renew.,0
Trial billed at full price.,1,Sneaking,5,Trial billed at full price.,0
Auto-renew at premium rate.,1,Sneaking,4,Auto-renew at premium rate.,0
Free feature limited access.,1,Sneaking,4,Free feature limited access.,0
Gift valid only with renewal.,1,Sneaking,5,Gift valid only with renewal.,0
Subscription not cancelable mid-cycle.,1,Sneaking,4,Subscription not cancelable mid-cycle.,0
Trial signup stores payment info.,1,Sneaking,5,Trial signup stores payment info.,0
Opt-out under hidden settings.,1,Sneaking,4,Opt-out under hidden settings.,0
Free claim requires paid account.,1,Sneaking,5,Free claim requires paid account.,0
Default plan adds warranty.,1,Sneaking,4,Default plan adds warranty.,0
Cancellation requires customer support.,1,Sneaking,4,Cancellation requires customer support.,0
Subscription active until billing ends.,1,Sneaking,5,Subscription active until billing ends.,0
Pre-applied service charges.,1,Sneaking,3,Pre-applied service charges.,0
Refunds only for unopened items.,1,Sneaking,5,Refunds only for unopened items.,0
Hidden upgrade applied.,1,Sneaking,3,Hidden upgrade applied.,0
Trial shortened if canceled early.,1,Sneaking,5,Trial shortened if canceled early.,0
Default option adds protection plan.,1,Sneaking,5,Default option adds protection plan.,0
Subscription billed in advance.,1,Sneaking,4,Subscription billed in advance.,0
ìAgreeî adds premium.,1,Sneaking,3,ìAgreeî adds premium.,0
Refund processed after 45 days.,1,Sneaking,5,Refund processed after 45 days.,0
Default includes auto-renew.,1,Sneaking,3,Default includes auto-renew.,0
Tax increases final price.,1,Sneaking,4,Tax increases final price.,0
Free trial converts to full plan.,1,Sneaking,6,Free trial converts to full plan.,0
Extra fee revealed after checkout.,1,Sneaking,5,Extra fee revealed after checkout.,0
Promo ends with cancelation.,1,Sneaking,4,Promo ends with cancelation.,0
Default adds gift bundle.,1,Sneaking,4,Default adds gift bundle.,0
Refund not valid for promo.,1,Sneaking,5,Refund not valid for promo.,0
Subscription extended by default.,1,Sneaking,4,Subscription extended by default.,0
Cancellation not possible online.,1,Sneaking,4,Cancellation not possible online.,0
Trial converts at higher rate.,1,Sneaking,5,Trial converts at higher rate.,0
Add-ons added at confirmation.,1,Sneaking,4,Add-ons added at confirmation.,0
Hidden service charge applied.,1,Sneaking,4,Hidden service charge applied.,0
Free access limited to trial.,1,Sneaking,5,Free access limited to trial.,0
Gift auto-renews monthly.,1,Sneaking,3,Gift auto-renews monthly.,0
Pre-selected newsletter sign-up.,1,Sneaking,3,Pre-selected newsletter sign-up.,0
Price excludes service charges.,1,Sneaking,4,Price excludes service charges.,0
ìYesî enrolls you in plan.,1,Sneaking,5,ìYesî enrolls you in plan.,0
Free trial limited access only.,1,Sneaking,5,Free trial limited access only.,0
Add-on required for delivery.,1,Sneaking,4,Add-on required for delivery.,0
Subscription hidden in checkout.,1,Sneaking,4,Subscription hidden in checkout.,0
Refund delayed after renewal.,1,Sneaking,4,Refund delayed after renewal.,0
Auto-renew hidden in fine print.,1,Sneaking,5,Auto-renew hidden in fine print.,0
Trial shortened unexpectedly.,1,Sneaking,3,Trial shortened unexpectedly.,0
Cancellation buried in FAQs.,1,Sneaking,4,Cancellation buried in FAQs.,0
Default plan is annual.,1,Sneaking,4,Default plan is annual.,0
Hidden tax fee added.,1,Sneaking,4,Hidden tax fee added.,0
Auto-subscribe when checking out.,1,Sneaking,4,Auto-subscribe when checking out.,0
Refund requires product review.,1,Sneaking,4,Refund requires product review.,0
Discount locked behind add-ons.,1,Sneaking,4,Discount locked behind add-ons.,0
Trial only with premium sign-up.,1,Sneaking,5,Trial only with premium sign-up.,0
Subscription defaults to longest term.,1,Sneaking,5,Subscription defaults to longest term.,0
Opt-out requires legal request.,1,Sneaking,4,Opt-out requires legal request.,0
Gift only with auto-renew.,1,Sneaking,4,Gift only with auto-renew.,0
Free download with subscription.,1,Sneaking,4,Free download with subscription.,0
Default plan enables tracking.,1,Sneaking,4,Default plan enables tracking.,0
Tax disclosed after purchase.,1,Sneaking,4,Tax disclosed after purchase.,0
Trial converts automatically.,1,Sneaking,3,Trial converts automatically.,0
ìAcceptî triggers hidden fees.,1,Sneaking,4,ìAcceptî triggers hidden fees.,0
Add-on plan bundled silently.,1,Sneaking,4,Add-on plan bundled silently.,0
Free service expires suddenly.,1,Sneaking,4,Free service expires suddenly.,0
Trial requires cancel within 24h.,1,Sneaking,5,Trial requires cancel within 24h.,0
Membership locked for one year.,1,Sneaking,5,Membership locked for one year.,0
Refund requires unused period.,1,Sneaking,4,Refund requires unused period.,0
Pre-selected partner subscriptions.,1,Sneaking,3,Pre-selected partner subscriptions.,0
Default adds donation.,1,Sneaking,3,Default adds donation.,0
Cancellation fee applies.,1,Sneaking,3,Cancellation fee applies.,0
Subscription auto-activates.,1,Sneaking,2,Subscription auto-activates.,0
Extra fee applied after trial.,1,Sneaking,5,Extra fee applied after trial.,0
Refunds not available during promo.,1,Sneaking,5,Refunds not available during promo.,0
ìProceedî hides additional charges.,1,Sneaking,4,ìProceedî hides additional charges.,0
Auto-billing starts without notice.,1,Sneaking,4,Auto-billing starts without notice.,0
Default includes paid upgrade.,1,Sneaking,4,Default includes paid upgrade.,0
Trial converts without consent.,1,Sneaking,4,Trial converts without consent.,0
Cancellation requires notarized letter.,1,Sneaking,4,Cancellation requires notarized letter.,0
Price lower only with commitment.,1,Sneaking,5,Price lower only with commitment.,0
Gift ships only on renewal.,1,Sneaking,5,Gift ships only on renewal.,0
Add-on subscription bundled.,1,Sneaking,3,Add-on subscription bundled.,0
Default requires premium tier.,1,Sneaking,4,Default requires premium tier.,0
Refund possible only in points.,1,Sneaking,5,Refund possible only in points.,0
Trial hidden behind paywall.,1,Sneaking,4,Trial hidden behind paywall.,0
Subscription confirmed by default.,1,Sneaking,4,Subscription confirmed by default.,0
Renewal notice sent late.,1,Sneaking,4,Renewal notice sent late.,0
Trial ends before stated date.,1,Sneaking,5,Trial ends before stated date.,0
Pre-applied loyalty fee.,1,Sneaking,3,Pre-applied loyalty fee.,0
Default includes premium features.,1,Sneaking,4,Default includes premium features.,0
Refund delayed until cycle ends.,1,Sneaking,5,Refund delayed until cycle ends.,0
Trial requires cancellation call.,1,Sneaking,4,Trial requires cancellation call.,0
Subscription locked with gift.,1,Sneaking,4,Subscription locked with gift.,0
Price displayed excludes surcharge.,1,Sneaking,4,Price displayed excludes surcharge.,0
Free offer converts to annual billing.,1,Sneaking,6,Free offer converts to annual billing.,0
Add-on sneaks into plan.,1,Sneaking,4,Add-on sneaks into plan.,0
Refund request ignored.,1,Sneaking,3,Refund request ignored.,0
Trial requires upgrade.,1,Sneaking,3,Trial requires upgrade.,0
Subscription ends only at cycle.,1,Sneaking,5,Subscription ends only at cycle.,0
Default includes yearly renewal.,1,Sneaking,4,Default includes yearly renewal.,0
Tax higher than shown.,1,Sneaking,4,Tax higher than shown.,0
Hidden fee in small print.,1,Sneaking,5,Hidden fee in small print.,0
Cancellation request rejected.,1,Sneaking,3,Cancellation request rejected.,0
Trial shorter than promised.,1,Sneaking,4,Trial shorter than promised.,0
Subscription renewed early.,1,Sneaking,3,Subscription renewed early.,0
Add-on defaulted in cart.,1,Sneaking,4,Add-on defaulted in cart.,0
Free option limited to 7 days.,1,Sneaking,6,Free option limited to 7 days.,0
Refund possible only by voucher.,1,Sneaking,5,Refund possible only by voucher.,0
Default plan expensive tier.,1,Sneaking,4,Default plan expensive tier.,0
Price excludes delivery.,1,Sneaking,3,Price excludes delivery.,0
Free trial with conditions.,1,Sneaking,4,Free trial with conditions.,0
Cancellation impossible online.,1,Sneaking,3,Cancellation impossible online.,0
Subscription extends silently.,1,Sneaking,3,Subscription extends silently.,0
Add-on charges applied later.,1,Sneaking,4,Add-on charges applied later.,0
Trial shorter after sign-up.,1,Sneaking,4,Trial shorter after sign-up.,0
Refund refused without reason.,1,Sneaking,4,Refund refused without reason.,0
Default includes extras.,1,Sneaking,3,Default includes extras.,0
Hidden data-sharing agreement.,1,Sneaking,3,Hidden data-sharing agreement.,0
Free ends at paid renewal.,1,Sneaking,5,Free ends at paid renewal.,0
Subscription set to auto.,1,Sneaking,4,Subscription set to auto.,0
Price shown misleading.,1,Sneaking,3,Price shown misleading.,0
Cancellation hidden deep.,1,Sneaking,3,Cancellation hidden deep.,0
Refund credit only.,1,Sneaking,3,Refund credit only.,0
Trial requires payment upfront.,1,Sneaking,4,Trial requires payment upfront.,0
Pre-selected premium features.,1,Sneaking,3,Pre-selected premium features.,0
Default adds extended plan.,1,Sneaking,4,Default adds extended plan.,0
Cancellation after trial costly.,1,Sneaking,4,Cancellation after trial costly.,0
Free trial limited to features.,1,Sneaking,5,Free trial limited to features.,0
Subscription renewed automatically.,1,Sneaking,3,Subscription renewed automatically.,0
Trial shorter with discount.,1,Sneaking,4,Trial shorter with discount.,0
Default adds monthly fee.,1,Sneaking,4,Default adds monthly fee.,0
Price excludes activation.,1,Sneaking,3,Price excludes activation.,0
Refund policy strict.,1,Sneaking,3,Refund policy strict.,0
Subscription renewed indefinitely.,1,Sneaking,3,Subscription renewed indefinitely.,0
Gift tied to billing.,1,Sneaking,4,Gift tied to billing.,0
Hidden service clause.,1,Sneaking,3,Hidden service clause.,0
Trial misleadingly advertised.,1,Sneaking,3,Trial misleadingly advertised.,0
Renewal fee undisclosed.,1,Sneaking,3,Renewal fee undisclosed.,0
Auto-subscribe default.,1,Sneaking,2,Auto-subscribe default.,0
Price only base cost.,1,Sneaking,4,Price only base cost.,0
Cancellation delayed.,1,Sneaking,2,Cancellation delayed.,0
Default adds insurance.,1,Sneaking,3,Default adds insurance.,0
Trial ends early.,1,Sneaking,3,Trial ends early.,0
Refund denied.,1,Sneaking,2,Refund denied.,0
Subscription locked.,1,Sneaking,2,Subscription locked.,0
Hidden costs added.,1,Sneaking,3,Hidden costs added.,0
Free misleading offer.,1,Sneaking,3,Free misleading offer.,0
Renewal sneaks in.,1,Sneaking,3,Renewal sneaks in.,0
Trial not cancelable.,1,Sneaking,3,Trial not cancelable.,0
Default renewal on.,1,Sneaking,3,Default renewal on.,0
Refund voucher only.,1,Sneaking,3,Refund voucher only.,0
Hidden donation added.,1,Sneaking,3,Hidden donation added.,0
Cancellation penalized.,1,Sneaking,2,Cancellation penalized.,0
Trial expires early.,1,Sneaking,3,Trial expires early.,0
Subscription silent renewal.,1,Sneaking,3,Subscription silent renewal.,0
Fee charged after sign-up.,1,Sneaking,4,Fee charged after sign-up.,0
Refund blocked.,1,Sneaking,2,Refund blocked.,0
Default premium tier.,1,Sneaking,3,Default premium tier.,0
Free trial shortened.,1,Sneaking,3,Free trial shortened.,0
Hidden charges appear.,1,Sneaking,3,Hidden charges appear.,0
Cancellation path buried.,1,Sneaking,3,Cancellation path buried.,0
Subscription non-refundable.,1,Sneaking,2,Subscription non-refundable.,0
Trial misleading terms.,1,Sneaking,3,Trial misleading terms.,0
Renewal cost hidden.,1,Sneaking,3,Renewal cost hidden.,0
Auto-opt-in hidden.,1,Sneaking,2,Auto-opt-in hidden.,0
Price shown incomplete.,1,Sneaking,3,Price shown incomplete.,0
Refund delay.,1,Sneaking,2,Refund delay.,0
Default yearly renewal.,1,Sneaking,3,Default yearly renewal.,0
Trial limited secretly.,1,Sneaking,3,Trial limited secretly.,0
Cancellation difficult.,1,Sneaking,2,Cancellation difficult.,0
Subscription tied in.,1,Sneaking,3,Subscription tied in.,0
Free only partial.,1,Sneaking,3,Free only partial.,0
Hidden taxes applied.,1,Sneaking,3,Hidden taxes applied.,0
Auto-renewal disguised.,1,Sneaking,2,Auto-renewal disguised.,0
Default adds plan.,1,Sneaking,3,Default adds plan.,0
Trial auto-charge.,1,Sneaking,2,Trial auto-charge.,0
Refund tricky.,1,Sneaking,2,Refund tricky.,0
Subscription sneaky.,1,Sneaking,2,Subscription sneaky.,0
Cancellation obstacles.,1,Sneaking,2,Cancellation obstacles.,0
Hidden renewal.,1,Sneaking,2,Hidden renewal.,0
Trial disguised.,1,Sneaking,2,Trial disguised.,0
Default opt-in.,1,Sneaking,2,Default opt-in.,0
Refund impossible.,1,Sneaking,2,Refund impossible.,0
Subscription enforced.,1,Sneaking,2,Subscription enforced.,0
Hidden surcharge.,1,Sneaking,2,Hidden surcharge.,0
Trial auto-renew.,1,Sneaking,2,Trial auto-renew.,0
Default premium.,1,Sneaking,2,Default premium.,0
Price excludes.,1,Sneaking,2,Price excludes.,0
Cancellation blocked.,1,Sneaking,2,Cancellation blocked.,0
Refund unclear.,1,Sneaking,2,Refund unclear.,0
Subscription forced.,1,Sneaking,2,Subscription forced.,0
Trial misleading.,1,Sneaking,2,Trial misleading.,0
Hidden charge.,1,Sneaking,2,Hidden charge.,0
Auto-renew default.,1,Sneaking,2,Auto-renew default.,0
Default upgrade.,1,Sneaking,2,Default upgrade.,0
Trial misrepresented.,1,Sneaking,2,Trial misrepresented.,0
Subscription tricky.,1,Sneaking,2,Subscription tricky.,0
Hidden consent.,1,Sneaking,2,Hidden consent.,0
Price not final.,1,Sneaking,3,Price not final.,0
Trial locked.,1,Sneaking,2,Trial locked.,0
Default renewal.,1,Sneaking,2,Default renewal.,0
Refund in credits.,1,Sneaking,3,Refund in credits.,0
Subscription disguised.,1,Sneaking,2,Subscription disguised.,0
Hidden plan.,1,Sneaking,2,Hidden plan.,0
Trial auto-switch.,1,Sneaking,2,Trial auto-switch.,0
Default option costly.,1,Sneaking,3,Default option costly.,0
Refund vague.,1,Sneaking,2,Refund vague.,0
Subscription non-stop.,1,Sneaking,2,Subscription non-stop.,0
Hidden cost clause.,1,Sneaking,3,Hidden cost clause.,0
Trial ends abruptly.,1,Sneaking,3,Trial ends abruptly.,0
Default surcharge.,1,Sneaking,2,Default surcharge.,0
